symbol,name,category,date,adj_close,source
XLU,Utilities Select Sector SPDR,Sector,2001-04-01,6.889101,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-05-01,6.937408,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-06-01,6.542544,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-07-01,6.530089,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-08-01,6.297403,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-09-01,6.189517,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-10-01,5.908938,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-11-01,5.834329,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-12-01,5.975019,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-01-01,5.804339,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-02-01,5.793598,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-03-01,6.053527,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-04-01,5.732212,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-05-01,5.684573,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-06-01,5.251460,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-07-01,4.521658,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-08-01,4.700948,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-09-01,4.082173,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-10-01,4.036755,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-11-01,4.154050,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2002-12-01,4.238150,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-01-01,4.187866,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-02-01,3.963916,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-03-01,4.120681,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-04-01,4.524607,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-05-01,4.981822,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-06-01,5.006718,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2003-07-01,4.711578,Yahoo Finance monthly adjusted close
